"","obsid","leadid","ccode","idacr","leader","startdate","enddate","bornin","died","eindate","eoutdate","entry","exit","exitcode","prevtimesinoffice","posttenurefate","gender","borndate","yrborn","deathdate","yrdied"
"130","DOM-1887","A2.9-388",42,"DOM","Heureaux","06/01/1887","26/07/1899","21/10/1845","26/07/1899",1887-01-06,1899-07-26,0,3,-999,1,3,"M",1845-10-21,1845,1899-07-26,1899
"131","DOM-1899-1","A2.9-391",42,"DOM","Figuereo","27/07/1899","31/08/1899","1834","1910",1899-07-27,1899-08-31,0,3,-999,0,0,"M",NA,1834,NA,1910
"132","DOM-1899-2","A2.9-394",42,"DOM","Vasquez","01/09/1899","14/11/1899","22/10/1860","1936",1899-09-01,1899-11-14,1,1,0,0,0,"M",1860-10-22,1860,NA,1936
"133","DOM-1899-3","A2.9-397",42,"DOM","Jimenez","15/11/1899","02/05/1902","1846","1919",1899-11-15,1902-05-02,0,3,-999,0,1,"M",NA,1846,NA,1919
"134","DOM-1902","A2.9-400",42,"DOM","Vasquez","02/05/1902","18/04/1903","22/10/1860","1936",1902-05-02,1903-04-18,1,3,-999,1,0,"M",1860-10-22,1860,NA,1936
"135","DOM-1903-1","A2.9-403",42,"DOM","Woss y Gil","18/04/1903","04/11/1903","1856","1932",1903-04-18,1903-11-04,1,1,0,1,1,"M",NA,1856,NA,1932
"136","DOM-1903-2","A2.9-406",42,"DOM","Morales","04/11/1903","25/12/1905","1867","1906",1903-11-04,1905-12-25,1,3,-999,0,1,"M",NA,1867,NA,1906
"137","DOM-1905","A2.9-409",42,"DOM","Caceres","25/12/1905","19/11/1911","15/12/1866","1911",1905-12-25,1911-11-19,0,3,-999,0,3,"M",1866-12-15,1866,NA,1911
"138","DOM-1911","A2.9-412",42,"DOM","Victoria","02/12/1911","28/11/1912","1864","1939",1911-12-02,1912-11-28,1,3,-999,0,0,"M",NA,1864,NA,1939
"139","DOM-1912","A2.9-415",42,"DOM","Nouel y Bobadilla","01/12/1912","31/03/1913","1862","1937",1912-12-01,1913-03-31,0,1,0,0,1,"M",NA,1862,NA,1937
"140","DOM-1913","A2.9-418",42,"DOM","Bordas y Valdes","13/04/1913","27/08/1914","1874","1968",1913-04-13,1914-08-27,0,4,-999,0,1,"M",NA,1874,NA,1968
"141","DOM-1914-1","A2.9-421",42,"DOM","Ramon Baez","27/08/1914","05/12/1914","1858","1929",1914-08-27,1914-12-05,0,1,0,0,0,"M",NA,1858,NA,1929
"142","DOM-1914-2","A2.9-424",42,"DOM","Jimenez","05/12/1914","08/05/1916","1846","1919",1914-12-05,1916-05-08,0,4,-999,1,1,"M",NA,1846,NA,1919
"143","DOM-1925","A2.9-427",42,"DOM","Vasquez","01/01/1925","27/02/1930","22/10/1860","1936",1925-01-01,1930-02-27,1,3,6,2,0,"M",1860-10-22,1860,NA,1936
